building_id,ventilation_binary,ep-value,weighted_u_value,dh_kwh_m2,q50_m3h
001,0.5773502691896258,-1.9752708470441145,-0.6842525759481752,-1.8496949456132386,-1.505116352118891
002,0.5773502691896258,-0.4513817388428362,-0.7352447234485857,-0.6763091645959933,-0.7653410579802241
003,-1.7320508075688774,0.33720423323334975,0.23011019107353645,0.08488191693530923,-0.46072770157018456
004,0.5773502691896258,-0.4726948732232737,0.15695097730334934,-0.47297522075542886,1.214645758685032
005,0.5773502691896258,-0.6112302466961171,-0.3174261771822034,0.1431470120991435,2.6941963469623667
006,-1.7320508075688774,0.880689159934505,-0.38719059169105396,0.9371804040616628,-0.46072770157018456
007,0.5773502691896258,-0.9842100983537727,2.141575392534993,-0.2255819378253965,1.214645758685032
008,-1.7320508075688774,0.8700325927442862,2.8491099210643265,0.7588080827313196,0.10498281747703143
009,0.5773502691896258,0.3158910988529123,-0.8203774487199244,0.08172674136140702,0.5401447552056592
010,-1.7320508075688774,2.0742246852390025,-0.0071749797904115875,2.1463672089227357,-0.46072770157018456
011,0.5773502691896258,-0.11037158875583689,-0.4650876821281284,-0.10905185892409525,0.36390417042556483
012,0.5773502691896258,0.4331133379453183,0.5207058842717341,0.3458494116336924,-0.46072770157018456
013,0.5773502691896258,0.4118002035648809,1.9277185337960032,0.3288650831246104,-0.46072770157018456
014,0.5773502691896258,-0.7177959185983045,-0.8697433070133823,-0.12844709011861719,0.5401447552056592
015,0.5773502691896258,-1.3039071140603347,-0.974073496482813,-0.8172197133028567,-0.8958896392988123
016,-1.7320508075688774,2.2340731930922835,-0.2954196664900526,2.5310373247294704,-0.46072770157018456
017,0.5773502691896258,0.7421537864616615,0.3564766753617764,0.5726410079555819,1.0405809835935813
018,-1.7320508075688774,1.2536690115921605,0.1605333835410552,1.2057122260599968,-0.46072770157018456
019,0.5773502691896258,0.2839213972822561,-0.8913014823111306,0.17573689696256412,-0.43896960468375323
020,0.5773502691896258,-0.2595635294188991,-0.2168530189606614,-0.5129352941631619,-0.46072770157018456
021,-1.7320508075688774,0.8700325927442862,1.599129878440779,0.8260864394068543,-0.4824857984566159
022,0.5773502691896258,-1.325220248440772,-0.9591144678723762,-1.532843372970891,-0.8958896392988123
023,0.5773502691896258,-1.8687051751419272,-0.9053240387477123,-2.0320152503107103,-1.505116352118891
024,0.5773502691896258,0.33720423323334975,-0.35832616771042763,0.23950863425006133,0.3660799801142083
025,0.5773502691896258,-0.20628069346780545,0.8090542035686022,-0.4653327261153812,-0.8958896392988123
026,0.5773502691896258,-0.48335144041349243,-0.4261474033889536,-0.7797780001507884,-0.13435624827371376
027,0.5773502691896258,-0.11037158875583689,-0.7252200804463838,-0.3575330244398829,2.3678248936658957
028,0.5773502691896258,-0.16365442470693053,-0.7130877326237806,-0.417830790947971,0.7577257240699731
