building_id,cluster
1,1
2,1
3,0
4,2
5,2
6,0
7,2
8,3
9,1
10,0
11,1
12,1
13,2
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,3
22,1
23,1
24,1
25,1
26,1
27,2
28,1
