building_id,cluster
1,2
2,0
3,1
4,0
5,0
6,1
7,3
8,1
9,0
10,1
11,0
12,3
13,3
14,0
15,2
16,1
17,0
18,1
19,0
20,0
21,1
22,2
23,2
24,0
25,3
26,0
27,0
28,0
