MethodPair,ARI,NMI
K-Medoids vs Agglomerative,0.6557015239096164,0.7677359511924835
K-Medoids vs GMM,0.21514135122184955,0.5070465003591107
Agglomerative vs GMM,0.3025612158739094,0.5239915167010853
